actor_id,actor_login,year,week_number,week_start,total_events,distinct_repos,push_count,pr_count,issue_count,time_grain,gold_ingested_at
2644,jd,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
24695642,felix-egli,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
96540521,s145854,2024,1,2024-01-01,1,1,0,0,1,week,2026-05-14 21:48:32.391286
2458907,holta,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
53257574,DxsSucuk,2024,1,2024-01-01,3,2,3,0,0,week,2026-05-14 21:48:32.391286
85254666,greenbonebot,2024,1,2024-01-01,18,6,6,6,0,week,2026-05-14 21:48:32.391286
5095603,gnomesysadmins,2024,1,2024-01-01,4,3,4,0,0,week,2026-05-14 21:48:32.391286
7812657,TerrificMao,2024,1,2024-01-01,5,1,2,3,0,week,2026-05-14 21:48:32.391286
39933173,rizky0707,2024,1,2024-01-01,5,5,0,0,0,week,2026-05-14 21:48:32.391286
69905090,Enkianssus,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
21292149,laotoutou,2024,1,2024-01-01,1,1,1,0,0,week,2026-05-14 21:48:32.391286
7199442,gabornj,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
117766773,plebeius-eth,2024,1,2024-01-01,1,1,1,0,0,week,2026-05-14 21:48:32.391286
40322382,tworedz,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
5922236,dabasov,2024,1,2024-01-01,3,1,1,1,0,week,2026-05-14 21:48:32.391286
38306928,tramcarjobs,2024,1,2024-01-01,4,1,2,1,0,week,2026-05-14 21:48:32.391286
111352407,Thomas-Nigon,2024,1,2024-01-01,2,1,2,0,0,week,2026-05-14 21:48:32.391286
25802260,Lunkle,2024,1,2024-01-01,1,1,1,0,0,week,2026-05-14 21:48:32.391286
40230973,enzoSoa,2024,1,2024-01-01,2,1,2,0,0,week,2026-05-14 21:48:32.391286
18099310,TorkelE,2024,1,2024-01-01,2,1,0,1,0,week,2026-05-14 21:48:32.391286
783424,lifubang,2024,1,2024-01-01,6,1,0,2,0,week,2026-05-14 21:48:32.391286
132573268,Ringoame196,2024,1,2024-01-01,1,1,1,0,0,week,2026-05-14 21:48:32.391286
30512160,trotsky1997,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
4989478,jeremyraffin,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
4272045,igrass,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
118128352,apereiracvo,2024,1,2024-01-01,1,1,1,0,0,week,2026-05-14 21:48:32.391286
30626125,milung,2024,1,2024-01-01,11,1,6,3,0,week,2026-05-14 21:48:32.391286
67463603,ddongseop,2024,1,2024-01-01,13,1,10,0,0,week,2026-05-14 21:48:32.391286
14093029,peterszombati,2024,1,2024-01-01,2,1,0,0,0,week,2026-05-14 21:48:32.391286
689741,artfwo,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
64142926,antigenius-lb,2024,1,2024-01-01,2,2,0,0,0,week,2026-05-14 21:48:32.391286
5279288,habond,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
28428724,Mdhesari,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
56082887,pbrignaud,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
7620140,ZH-Hristov,2024,1,2024-01-01,1,1,0,0,1,week,2026-05-14 21:48:32.391286
10527554,andyngdz,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
43639341,devilkiller-ag,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
107343649,ohl-bot,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
105601287,JacobHeldt,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
122722122,mame-rr-player001,2024,1,2024-01-01,1,1,0,0,1,week,2026-05-14 21:48:32.391286
65463913,fluentmoheshwar,2024,1,2024-01-01,5,1,0,0,0,week,2026-05-14 21:48:32.391286
131295008,Imicoin20,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
76870403,r-e-y-a-n,2024,1,2024-01-01,1,1,1,0,0,week,2026-05-14 21:48:32.391286
153430266,skitamur-rhdh[bot],2024,1,2024-01-01,32,16,0,0,0,week,2026-05-14 21:48:32.391286
24420859,mnerv,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
66853113,pre-commit-ci[bot],2024,1,2024-01-01,3,3,3,0,0,week,2026-05-14 21:48:32.391286
88535186,KunjPatel9,2024,1,2024-01-01,6,4,6,0,0,week,2026-05-14 21:48:32.391286
178424,JeffCarpenter,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
151815160,jogendradurgamahesh,2024,1,2024-01-01,3,1,3,0,0,week,2026-05-14 21:48:32.391286
72595612,Unreal-Dan,2024,1,2024-01-01,2,1,1,0,0,week,2026-05-14 21:48:32.391286
8348955,tbennun,2024,1,2024-01-01,4,1,2,0,0,week,2026-05-14 21:48:32.391286
39756553,olcaytaner,2024,1,2024-01-01,5,5,5,0,0,week,2026-05-14 21:48:32.391286
110821928,LuSterM1126,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
12900197,committedpro,2024,1,2024-01-01,2,1,0,1,0,week,2026-05-14 21:48:32.391286
76069669,soynexz,2024,1,2024-01-01,3,1,0,0,0,week,2026-05-14 21:48:32.391286
719845,boisy,2024,1,2024-01-01,4,1,0,1,0,week,2026-05-14 21:48:32.391286
54269356,aqua-bot,2024,1,2024-01-01,3,1,1,0,0,week,2026-05-14 21:48:32.391286
6747816,yaka-es,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
155375809,LeoAlexxx,2024,1,2024-01-01,2,1,0,0,0,week,2026-05-14 21:48:32.391286
57831472,RealHinome,2024,1,2024-01-01,3,1,1,1,1,week,2026-05-14 21:48:32.391286
45590582,QuLinXiong,2024,1,2024-01-01,2,1,1,0,0,week,2026-05-14 21:48:32.391286
13391344,aecea,2024,1,2024-01-01,3,3,0,0,0,week,2026-05-14 21:48:32.391286
117974608,Zixinjia,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
47571113,yustier,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
48553457,hey2022,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
6200749,hholst80,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
56423642,Wei-GaZang,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
61133235,takeramagan,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
36327482,izuojian,2024,1,2024-01-01,2,1,0,0,0,week,2026-05-14 21:48:32.391286
101456132,Peter-developer01,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
74857912,peduepp,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
13989182,zi3lak,2024,1,2024-01-01,2,2,0,0,0,week,2026-05-14 21:48:32.391286
57676798,takuyamashita,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
59650171,Nightbringers,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
142903887,Karthik1130,2024,1,2024-01-01,2,1,0,1,0,week,2026-05-14 21:48:32.391286
21069936,soyrman,2024,1,2024-01-01,1,1,0,1,0,week,2026-05-14 21:48:32.391286
111891491,MaxMartinsen,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
926720,kevbook,2024,1,2024-01-01,1,1,0,0,1,week,2026-05-14 21:48:32.391286
37270891,Watermelon914,2024,1,2024-01-01,1,1,0,1,0,week,2026-05-14 21:48:32.391286
40721349,frankpagan,2024,1,2024-01-01,3,1,2,0,0,week,2026-05-14 21:48:32.391286
107943759,sathya-sankaran,2024,1,2024-01-01,2,1,2,0,0,week,2026-05-14 21:48:32.391286
88802789,EthemCetinkaya,2024,1,2024-01-01,3,3,0,0,0,week,2026-05-14 21:48:32.391286
8580397,gearmobile,2024,1,2024-01-01,2,1,2,0,0,week,2026-05-14 21:48:32.391286
39021696,WumaCoder,2024,1,2024-01-01,1,1,1,0,0,week,2026-05-14 21:48:32.391286
40348451,Jordantan1999,2024,1,2024-01-01,2,2,0,0,0,week,2026-05-14 21:48:32.391286
819559,maxlazio,2024,1,2024-01-01,1,1,1,0,0,week,2026-05-14 21:48:32.391286
64411317,s0ftik3,2024,1,2024-01-01,2,1,2,0,0,week,2026-05-14 21:48:32.391286
35894605,CyberMODE,2024,1,2024-01-01,2,1,2,0,0,week,2026-05-14 21:48:32.391286
60584659,FOXTetsuo,2024,1,2024-01-01,1,1,1,0,0,week,2026-05-14 21:48:32.391286
105596564,yuvalsw,2024,1,2024-01-01,3,1,2,1,0,week,2026-05-14 21:48:32.391286
81983850,Nendur,2024,1,2024-01-01,1,1,1,0,0,week,2026-05-14 21:48:32.391286
11418231,hieuxlu,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
229399,billz,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
72033052,WZ-Jun,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
99685753,KlatkaMaciej,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
6168508,behradnasehi,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
26573123,arojas90,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
4795442,asasas234,2024,1,2024-01-01,3,1,0,0,1,week,2026-05-14 21:48:32.391286
97747863,wcorn,2024,1,2024-01-01,1,1,0,0,1,week,2026-05-14 21:48:32.391286
