org_login,repo_name,detected_language,commit_count,gold_ingested_at
Wunderbyte-GmbH,Wunderbyte-GmbH/moodle-mod_booking,PHP,5,2026-05-14 21:52:28.764978
dev-bcn,dev-bcn/dev-bcn.github.io,JavaScript,5,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa92d0fa1c62b04fe791af7878950586fd,JavaScript,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa09d7dd3305fb4524930eef9340706583,JavaScript,4,2026-05-14 21:52:28.764978
influxdata,influxdata/influxdb2-sample-data,JavaScript,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swadc554a03b49242ae81abe7389cbc413e,JavaScript,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa5ca8b9cdc3364b3198858f79703bf4cd,JavaScript,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa899725f2a62d4ddda39d677341aa9483,JavaScript,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa421fc8e5e215452fb6988680fa784444,JavaScript,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa200b3e011c144d169447c1a725e072a8,JavaScript,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa72c5a6bd64594f79b871a6f5a287ab06,JavaScript,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa3e7b3b44aed947d1b67d5b012c8e14b0,JavaScript,4,2026-05-14 21:52:28.764978
airframesio,airframesio/data,JavaScript,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa8473ee07d9704dabb660d70d3b62403d,JavaScript,4,2026-05-14 21:52:28.764978
GOFAST007,GOFAST007/desktop,JavaScript,4,2026-05-14 21:52:28.764978
kunitsucom,kunitsucom/util.go,Go,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa16e5104189aa4123a76e270a09132105,JavaScript,4,2026-05-14 21:52:28.764978
StudyCrew,StudyCrew/StudyCrew,JavaScript,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa92a9d42240624fefb76db3f007144c37,JavaScript,4,2026-05-14 21:52:28.764978
polserver,polserver/polserver,C++,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swae09049be6ce74ce69aeeeeadf1330442,JavaScript,4,2026-05-14 21:52:28.764978
OpenAudioMc,OpenAudioMc/status,Java,4,2026-05-14 21:52:28.764978
AI21Labs,AI21Labs/langchain,Python,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa2c8de33ef4e6417fbac37025606c2b05,JavaScript,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa44fae6eda2764010b9271c9c2fd9035a,JavaScript,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa1f5faca28c67474d8096822f48293a5b,JavaScript,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swaae9362b563bf4e3682419453c1767d2e,JavaScript,4,2026-05-14 21:52:28.764978
androiddevnotesforks,androiddevnotesforks/calculators,JavaScript,4,2026-05-14 21:52:28.764978
libranet,libranet/libranet-quantum,Python,4,2026-05-14 21:52:28.764978
gojue,gojue/ecapture,C#,4,2026-05-14 21:52:28.764978
Binar-Academy-C-8,Binar-Academy-C-8/Android-FinalProject,Kotlin,4,2026-05-14 21:52:28.764978
javaparser,javaparser/javaparser,Java,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swaf59616c6799b4a6bbc4fe3b8ff3f90bb,JavaScript,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa69cc285abbd749ab9ea7f218c7b71859,JavaScript,4,2026-05-14 21:52:28.764978
csi-addons,csi-addons/kubernetes-csi-addons,Go,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swad4a2f9f4fae949fa9b3c03974f04c4c4,JavaScript,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swaf5c430cf829f4a3e8a9a97c3d305172c,JavaScript,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa7bd53f006cbf451499d98e6abb89febf,JavaScript,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swad158b3f6c4654a228946bcfb1d0f26a3,JavaScript,4,2026-05-14 21:52:28.764978
enonic,enonic/tutorial-myfirstsite,Java,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa9055af6b4e6f456e8b9ea6da4e3ffc3b,JavaScript,4,2026-05-14 21:52:28.764978
hk-hospital-watch,hk-hospital-watch/hk-ha-ae-wait-time,JavaScript,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swab6768f72f6fa4d40880b7fde3b28d7ff,JavaScript,4,2026-05-14 21:52:28.764978
cs-intro-reichman,cs-intro-reichman/hw02-Eliyahvaknin,Java,4,2026-05-14 21:52:28.764978
ff4j,ff4j/ff4j,Java,4,2026-05-14 21:52:28.764978
elastic,elastic/e2e-testing,Go,4,2026-05-14 21:52:28.764978
BananaDroid-Lab,BananaDroid-Lab/frameworks_base,Java,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swaa1746c21f0224a4ca3549a1d24d57a3b,JavaScript,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa9ec77432d2be4dd88322af031bae7e4b,JavaScript,4,2026-05-14 21:52:28.764978
genexuslabs,genexuslabs/chameleon-controls-library,TypeScript,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa6b7537b6451c49e1bdd13e53657ab9f3,JavaScript,4,2026-05-14 21:52:28.764978
TheLoathingFoundation,TheLoathingFoundation/scripts,JavaScript,4,2026-05-14 21:52:28.764978
ctu-vras,ctu-vras/singularity,Go,4,2026-05-14 21:52:28.764978
parserpp,parserpp/ip_ports,Python,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swad43fcb3311eb4543aa9e14b4867482f9,JavaScript,4,2026-05-14 21:52:28.764978
ICTDTBDWb,ICTDTBDWb/tss-webshop,PHP,4,2026-05-14 21:52:28.764978
cepdnaclk,cepdnaclk/e19-3yp-impact-tracker,JavaScript,3,2026-05-14 21:52:28.764978
metarhia,metarhia/impress,JavaScript,3,2026-05-14 21:52:28.764978
GaloisInc,GaloisInc/copilot-1,Shell,3,2026-05-14 21:52:28.764978
dotnetcore,dotnetcore/Natasha,C#,3,2026-05-14 21:52:28.764978
gg-snyk-demo,gg-snyk-demo/public-app-gg-bis-2023-10,Python,3,2026-05-14 21:52:28.764978
C0623I1-project-module-6,C0623I1-project-module-6/best-ticket-front,JavaScript,3,2026-05-14 21:52:28.764978
cggh,cggh/scikit-allel,Python,3,2026-05-14 21:52:28.764978
prometheus-community,prometheus-community/stackdriver_exporter,Go,3,2026-05-14 21:52:28.764978
avansoft,avansoft/flickit-assessment,Java,3,2026-05-14 21:52:28.764978
gg-snyk-demo,gg-snyk-demo/private-gg-bis-2023-10,Python,3,2026-05-14 21:52:28.764978
palantir,palantir/witchcraft-rust-server,Rust,3,2026-05-14 21:52:28.764978
python,python/miss-islington,Python,3,2026-05-14 21:52:28.764978
Java-A1gorithm-study,Java-A1gorithm-study/A1goritm-study,Java,3,2026-05-14 21:52:28.764978
gg-snyk-demo,gg-snyk-demo/public-app-gg-2024-01,Python,3,2026-05-14 21:52:28.764978
2by2-Project,2by2-Project/android_frameworks_base,Java,3,2026-05-14 21:52:28.764978
WebFiori,WebFiori/http,PHP,3,2026-05-14 21:52:28.764978
opencart,opencart/opencart-3,PHP,3,2026-05-14 21:52:28.764978
flex-development,flex-development/grease,TypeScript,3,2026-05-14 21:52:28.764978
VSEScala,VSEScala/Scala-Dining,Python,3,2026-05-14 21:52:28.764978
GenericMappingTools,GenericMappingTools/gmt,C++,3,2026-05-14 21:52:28.764978
qqself,qqself/qqself,Rust,3,2026-05-14 21:52:28.764978
adsbypasser,adsbypasser/adsbypasser,JavaScript,3,2026-05-14 21:52:28.764978
o7-Fire,o7-Fire/NodeNsfwJSAPI,Python,3,2026-05-14 21:52:28.764978
Crazy-Marvin,Crazy-Marvin/Halma,Java,3,2026-05-14 21:52:28.764978
acdh-oeaw,acdh-oeaw/OpenAtlas,Python,3,2026-05-14 21:52:28.764978
CodePipelineTestOrg,CodePipelineTestOrg/TestRepo,JavaScript,3,2026-05-14 21:52:28.764978
fz139,fz139/blocked-domains-resolves,JavaScript,3,2026-05-14 21:52:28.764978
YoloDev,YoloDev/cargo-featurex,Rust,3,2026-05-14 21:52:28.764978
lassi-niruvanam,lassi-niruvanam/kairegai,JavaScript,3,2026-05-14 21:52:28.764978
newfold-labs,newfold-labs/wp-module-onboarding,JavaScript,3,2026-05-14 21:52:28.764978
metanorma,metanorma/latexml-snap,Python,3,2026-05-14 21:52:28.764978
